Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5008837,4,5,341,3525,341,0,85.25,170.5,2077,0,705.0,990.6447396,771.8358573,1.796824293,626104.625,1768252.596,5002306,47,6531,2177.0,496.9144796,2615,1637,5008656,1252164.0,2500882.604,5003487,49,0,0,0,0,136,168,0.798588575,0.998235718,0,2077,386.6,747.7609838,559146.4889,0,0,0,1,0,0,0,0,1,429.5555556,85.25,705.0,136,0,0,0,0,0,0,4,341,5,3525,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5008159,7,5,417,11632,417,0,59.57142857,157.6111852,8736,0,2326.4,3796.176603,2405.874095,2.39609006,455287.1818,1507748.058,5001318,1,6841,1140.166667,1318.71656,3050,1,5008060,1252015.0,2500685.137,5003042,181,0,0,0,0,232,168,1.397719202,0.998370858,0,8736,926.8461538,2478.420729,6142569.308,0,0,0,1,0,0,0,0,0,1004.083333,59.57142857,2326.4,232,0,0,0,0,0,0,7,417,5,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5004971,7,6,381,11632,381,0,54.42857143,144.0044642,5792,0,1938.666667,2544.918912,2400.213708,2.597417647,417080.9167,1443457.55,5000674,4,4297,716.1666667,1076.922544,2847,4,5004804,1000960.8,2237144.241,5002886,47,0,0,0,0,232,200,1.398609502,1.198808145,0,5792,858.0714286,1855.776448,3443906.225,0,0,0,1,0,0,0,0,0,924.0769231,54.42857143,1938.666667,232,0,0,0,0,0,0,7,381,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5004703,7,5,414,11632,414,0,59.14285714,156.4772918,7288,0,2326.4,3351.290617,2406.936036,2.397744681,454973.0,1507321.858,4999719,31,4984,830.6666667,1336.863892,3550,201,5004658,1251164.5,2500939.038,5002573,163,0,0,0,0,232,168,1.398684397,0.999060284,0,7288,926.6153846,2254.526319,5082888.923,0,0,0,1,0,0,0,0,0,1003.833333,59.14285714,2326.4,232,0,0,0,0,0,0,7,414,5,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5005677,8,6,325,11632,325,0,40.625,114.9048519,5792,0,1938.666667,2544.918912,2388.687884,2.796824485,385052.0769,1387277.632,5002191,13,3486,498.0,575.834467,1779,179,5005624,1001124.8,2237924.044,5004445,13,0,0,0,0,264,200,1.59818542,1.198639065,0,5792,797.1333333,1802.932804,3250566.695,0,0,0,1,0,0,0,0,0,854.0714286,40.625,1938.666667,264,0,0,0,0,0,0,8,325,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5005163,8,5,537,11632,537,0,67.125,189.8581707,10184,0,2326.4,4437.056321,2431.289451,2.597318009,417096.9167,1443595.163,5001127,23,4036,576.5714286,764.3343198,2243,23,5005086,1251271.5,2501747.686,5003893,98,0,0,0,0,264,168,1.598349544,0.998968465,0,10184,869.2142857,2710.683427,7347804.643,0,0,0,1,0,0,0,0,0,936.0769231,67.125,2326.4,264,0,0,0,0,0,0,8,537,5,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5006562,8,6,308,11632,308,0,38.5,108.8944443,5840,0,1938.666667,2550.37524,2384.870096,2.796330096,385120.1538,1387576.26,5003253,3,3309,472.7142857,536.7925466,1438,3,5006429,1001285.8,2238084.493,5004893,14,0,0,0,0,264,200,1.597902912,1.198427184,0,5840,796.0,1806.007119,3261661.714,0,0,0,1,0,0,0,0,0,852.8571429,38.5,1938.666667,264,0,0,0,0,0,0,8,308,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5007321,8,6,411,11632,411,0,51.375,145.3104435,5792,0,1938.666667,2544.918912,2405.078484,2.795906234,385178.5385,1387273.385,5002303,5,5018,716.8571429,859.0315145,2298,5,5007251,1001450.2,2237703.189,5004375,48,0,0,0,0,264,200,1.597660705,1.198245529,0,5792,802.8666667,1801.460315,3245259.267,0,0,0,1,0,0,0,0,0,860.2142857,51.375,1938.666667,264,0,0,0,0,0,0,8,411,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5020607,8,6,279,11632,279,0,34.875,98.64139598,4392,0,1938.666667,2190.718847,2372.422299,2.788507445,386200.5385,1386820.592,5001795,32,18812,2687.428571,6282.905534,16932,176,5020571,1004114.2,2235601.046,5003260,32,0,0,0,0,264,200,1.593432826,1.195074619,0,4392,794.0666667,1629.340992,2654752.067,0,0,0,1,0,0,0,0,0,850.7857143,34.875,1938.666667,264,0,0,0,0,0,0,8,279,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,5020047,5,4,442,3525,442,0,88.4,197.6684092,3525,0,881.25,1762.5,790.2316452,1.7928119,627505.875,1767174.494,5001023,103,19024,4756.0,7206.336193,15509,131,5019877,1673292.333,2882756.072,5002006,3317,0,0,0,0,168,136,0.996006611,0.796805289,0,3525,396.7,1107.914964,1227475.567,0,0,0,1,0,0,0,0,0,440.7777778,88.4,881.25,168,0,0,0,0,0,0,5,442,4,3525,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
