Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5021059,6,5,703,1414,356,0,117.1666667,181.5361305,1050,0,282.8,456.923626,421.6242032,2.190772903,502105.9,1568379.157,4965658,19,55401,11080.2,17612.66701,41863,19,5020928,1255232.0,2499939.593,5005133,1053,0,0,0,0,200,168,1.194967038,0.995805865,0,1050,176.4166667,317.4711034,100787.9015,0,0,0,1,0,0,0,0,0,192.4545455,117.1666667,282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,70,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14285.71429,14285.71429,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,253,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5024211,6,5,703,1414,356,0,117.1666667,181.5361305,1050,0,282.8,456.923626,421.3596921,2.189398495,502421.1,1567646.993,4963884,19,60327,12065.4,17903.39797,42441,19,5024076,1256019.0,2498298.343,5003449,948,0,0,0,0,200,168,1.194217361,0.995181134,0,1050,176.4166667,317.4711034,100787.9015,0,0,0,1,0,0,0,0,0,192.4545455,117.1666667,282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19230.76923,19230.76923,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,253,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5386396,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.742611572,1795465.333,3108998.888,5385428,130,5386396,2693198.0,3807388.179,5385428,968,0,0.0,0.0,0,0,0,0,0,0,104,40,0.556958679,0.185652893,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5018079,6,5,703,1413,356,0,117.1666667,181.5361305,1049,0,282.6,456.5038883,421.6753064,2.192073899,501807.9,1566571.74,4960208,20,57871,11574.2,18030.54377,42532,20,5017957,1254489.25,2497205.938,5000284,960,0,0,0,0,200,168,1.195676672,0.996397227,0,1049,176.3333333,317.2209821,100629.1515,0,0,0,1,0,0,0,0,0,192.3636364,117.1666667,282.6,200,0,0,0,0,0,0,6,703,5,1413,29200,243,2,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,101,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19801.9802,101.0,0.0,101,101,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9900.990099,9900.990099,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,253,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5001169,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.799813004,1667056.333,2886644.265,5000266,131,5001169,2500584.5,3535083.479,5000266,903,0,0.0,0.0,0,0,0,0,0,0,104,40,0.599859753,0.199953251,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,671,2,1,8,2,6,2,4.0,2.828427125,2,2,2.0,0.0,14903.12966,4470.938897,335.5,296.2777413,545,126,671,671.0,0.0,671,671,0,0.0,0.0,0,0,0,0,0,0,44,24,2980.625931,1490.312966,2,6,3.0,2.0,4.0,0,0,0,1,0,0,0,0,0,4.0,4.0,2.0,44,0,0,0,0,0,0,2,8,1,2,1024,29200,1,20,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,102,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,78431.37255,19607.84314,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,9803.921569,9803.921569,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
